品类A,品类B,日Pearson,日Spearman,旧周Pearson,旧周Spearman,完整周Pearson,完整周Spearman,残差Pearson,残差Spearman,周Pearson修正差异,周Spearman修正差异,最大绝对相关
辣椒类,食用菌,0.687485,0.534785,0.615625,0.504053,0.535639,0.465402,0.736787,0.620310,-0.079985,-0.038651,0.736787
花叶类,食用菌,0.631075,0.596225,0.559704,0.597421,0.564352,0.592505,0.696377,0.628752,0.004648,-0.004916,0.696377
花叶类,辣椒类,0.659790,0.595045,0.635992,0.546406,0.643134,0.537508,0.686720,0.677111,0.007142,-0.008898,0.686720
花叶类,花菜类,0.627670,0.633454,0.685320,0.668238,0.677593,0.660294,0.569582,0.544786,-0.007727,-0.007944,0.677593
水生根茎类,食用菌,0.670189,0.605351,0.629806,0.657949,0.569785,0.631713,0.562949,0.351338,-0.060021,-0.026235,0.670189
花菜类,辣椒类,0.551288,0.429715,0.487996,0.349717,0.447301,0.307468,0.645636,0.579823,-0.040694,-0.042249,0.645636
水生根茎类,辣椒类,0.614364,0.333866,0.529394,0.300086,0.458433,0.249574,0.614357,0.310933,-0.070961,-0.050512,0.614364
花叶类,水生根茎类,0.561287,0.438872,0.505299,0.448505,0.488726,0.425436,0.494824,0.353710,-0.016572,-0.023069,0.561287
花菜类,食用菌,0.523076,0.462420,0.452739,0.456220,0.404291,0.416319,0.548893,0.491272,-0.048448,-0.039901,0.548893
花菜类,水生根茎类,0.542507,0.396032,0.486650,0.400061,0.448505,0.362720,0.516988,0.351046,-0.038145,-0.037341,0.542507
水生根茎类,茄类,0.074423,-0.209966,-0.234639,-0.400480,-0.356052,-0.484228,0.320048,0.000058,-0.121413,-0.083748,0.484228
茄类,辣椒类,0.273673,0.104237,0.011058,-0.044681,-0.099201,-0.099678,0.467750,0.176222,-0.110259,-0.054997,0.467750
茄类,食用菌,0.119808,-0.114517,-0.191508,-0.315270,-0.342566,-0.392761,0.402119,0.172315,-0.151058,-0.077490,0.402119
花菜类,茄类,0.311873,0.193013,0.143997,0.087573,0.089539,0.043659,0.278252,0.052209,-0.054457,-0.043913,0.311873
花叶类,茄类,0.257879,0.252731,0.072969,0.102464,0.014623,0.055692,0.283600,0.144740,-0.058346,-0.046772,0.283600

